out	Kingdom	Phylum	Class	Order	Family	Genus	Species
53814858c8cfc7263d97bb5c713070e6	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae		
d8be7e0bca1840b4ce54f4320f7113ee	d__Bacteria	 p__Actinobacteriota	 c__Thermoleophilia	 o__Solirubrobacterales	 f__Solirubrobacteraceae		
25555a07a1f196e5dc63b8226176dbed	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia				
f6882a4da97b883a095f876924df052c	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Chitinophagaceae	 g__Chitinophaga	
76147747a67221664c38f158c4e8c35a	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Beijerinckiaceae	 g__Microvirga	
e1d7229986e5d76be1a85aa3a50c811a	d__Bacteria	 p__Chloroflexi	 c__Dehalococcoidia	 o__S085	 f__S085	 g__S085	
4e2538886d97a81381c29d3239a2ba60	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Propionibacteriales	 f__Nocardioidaceae	 g__Marmoricola	
95576ec631ac88d04d71bdc0b09f765a	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Rhizobiaceae	 g__Mesorhizobium	
9895159b08e74c3baeb9ebdf2ed6fcf4	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Xanthobacteraceae		
bb409e9a1002af3d79af5e279160f162	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria				
bb5390f929f042badd148bbb0c96a135	d__Bacteria	 p__Gemmatimonadota	 c__Gemmatimonadetes	 o__Gemmatimonadales	 f__Gemmatimonadaceae	 g__uncultured	
5ec4ececb6ce60a68164ecf3f87d1652	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Crocinitomicaceae		
e0560f6699f61cbf2eea578e1a4226f3	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Rhizobiaceae	 g__Shinella	
0d9b42cf0e3a864d5ee0d4e8b8a9a606	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Salinisphaerales	 f__Solimonadaceae		
3664d24de2dc6ce59cd76e3cfb01d68e	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Oxalobacteraceae	 g__Massilia	
43d5805b558ee8d5df6f746ad2ace2bc	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Chitinophagaceae		
